,Country_Code,GDP_Constant_USD_value_crisis,GDP_Constant_USD_value_pre_crisis,GDP_Constant_USD_crisis_year,GDP_Constant_USD_turn_around_year,GDP_Constant_USD_recovery_year_1_2,GDP_Constant_USD_recovery_year_3_4,GDP_Constant_USD_recovery_year,GDP_Constant_USD_recovery_year_1_2_str,GDP_Constant_USD_recovery_year_3_4_str,GDP_Constant_USD_recovery_year_str,GDP_Constant_USD_crisis_shock,GDP_Constant_USD_recovery_time_1_2,GDP_Constant_USD_recovery_time_3_4,GDP_Constant_USD_recovery_time,GDP_growth_rate_value_crisis,GDP_growth_rate_value_pre_crisis,GDP_growth_rate_crisis_year,GDP_growth_rate_turn_around_year,GDP_growth_rate_recovery_year_1_2,GDP_growth_rate_recovery_year_3_4,GDP_growth_rate_recovery_year,GDP_growth_rate_recovery_year_1_2_str,GDP_growth_rate_recovery_year_3_4_str,GDP_growth_rate_recovery_year_str,GDP_growth_rate_crisis_shock,GDP_growth_rate_recovery_time_1_2,GDP_growth_rate_recovery_time_3_4,GDP_growth_rate_recovery_time,revenue_deficit_value_crisis,revenue_deficit_value_pre_crisis,revenue_deficit_crisis_year,revenue_deficit_turn_around_year,revenue_deficit_recovery_year_1_2,revenue_deficit_recovery_year_3_4,revenue_deficit_recovery_year,revenue_deficit_recovery_year_1_2_str,revenue_deficit_recovery_year_3_4_str,revenue_deficit_recovery_year_str,revenue_deficit_crisis_shock,revenue_deficit_recovery_time_1_2,revenue_deficit_recovery_time_3_4,revenue_deficit_recovery_time,neg_govt_expenditure_value_crisis,neg_govt_expenditure_value_pre_crisis,neg_govt_expenditure_crisis_year,neg_govt_expenditure_turn_around_year,neg_govt_expenditure_recovery_year_1_2,neg_govt_expenditure_recovery_year_3_4,neg_govt_expenditure_recovery_year,neg_govt_expenditure_recovery_year_1_2_str,neg_govt_expenditure_recovery_year_3_4_str,neg_govt_expenditure_recovery_year_str,neg_govt_expenditure_crisis_shock,neg_govt_expenditure_recovery_time_1_2,neg_govt_expenditure_recovery_time_3_4,neg_govt_expenditure_recovery_time,Total_Revenue_excl_SC_value_crisis,Total_Revenue_excl_SC_value_pre_crisis,Total_Revenue_excl_SC_crisis_year,Total_Revenue_excl_SC_turn_around_year,Total_Revenue_excl_SC_recovery_year_1_2,Total_Revenue_excl_SC_recovery_year_3_4,Total_Revenue_excl_SC_recovery_year,Total_Revenue_excl_SC_recovery_year_1_2_str,Total_Revenue_excl_SC_recovery_year_3_4_str,Total_Revenue_excl_SC_recovery_year_str,Total_Revenue_excl_SC_crisis_shock,Total_Revenue_excl_SC_recovery_time_1_2,Total_Revenue_excl_SC_recovery_time_3_4,Total_Revenue_excl_SC_recovery_time,Tax_Revenue_value_crisis,Tax_Revenue_value_pre_crisis,Tax_Revenue_crisis_year,Tax_Revenue_turn_around_year,Tax_Revenue_recovery_year_1_2,Tax_Revenue_recovery_year_3_4,Tax_Revenue_recovery_year,Tax_Revenue_recovery_year_1_2_str,Tax_Revenue_recovery_year_3_4_str,Tax_Revenue_recovery_year_str,Tax_Revenue_crisis_shock,Tax_Revenue_recovery_time_1_2,Tax_Revenue_recovery_time_3_4,Tax_Revenue_recovery_time,Income_Taxes_value_crisis,Income_Taxes_value_pre_crisis,Income_Taxes_crisis_year,Income_Taxes_turn_around_year,Income_Taxes_recovery_year_1_2,Income_Taxes_recovery_year_3_4,Income_Taxes_recovery_year,Income_Taxes_recovery_year_1_2_str,Income_Taxes_recovery_year_3_4_str,Income_Taxes_recovery_year_str,Income_Taxes_crisis_shock,Income_Taxes_recovery_time_1_2,Income_Taxes_recovery_time_3_4,Income_Taxes_recovery_time,Value_Added_Tax_value_crisis,Value_Added_Tax_value_pre_crisis,Value_Added_Tax_crisis_year,Value_Added_Tax_turn_around_year,Value_Added_Tax_recovery_year_1_2,Value_Added_Tax_recovery_year_3_4,Value_Added_Tax_recovery_year,Value_Added_Tax_recovery_year_1_2_str,Value_Added_Tax_recovery_year_3_4_str,Value_Added_Tax_recovery_year_str,Value_Added_Tax_crisis_shock,Value_Added_Tax_recovery_time_1_2,Value_Added_Tax_recovery_time_3_4,Value_Added_Tax_recovery_time,Excise_Taxes_value_crisis,Excise_Taxes_value_pre_crisis,Excise_Taxes_crisis_year,Excise_Taxes_turn_around_year,Excise_Taxes_recovery_year_1_2,Excise_Taxes_recovery_year_3_4,Excise_Taxes_recovery_year,Excise_Taxes_recovery_year_1_2_str,Excise_Taxes_recovery_year_3_4_str,Excise_Taxes_recovery_year_str,Excise_Taxes_crisis_shock,Excise_Taxes_recovery_time_1_2,Excise_Taxes_recovery_time_3_4,Excise_Taxes_recovery_time,Trade_Taxes_value_crisis,Trade_Taxes_value_pre_crisis,Trade_Taxes_crisis_year,Trade_Taxes_turn_around_year,Trade_Taxes_recovery_year_1_2,Trade_Taxes_recovery_year_3_4,Trade_Taxes_recovery_year,Trade_Taxes_recovery_year_1_2_str,Trade_Taxes_recovery_year_3_4_str,Trade_Taxes_recovery_year_str,Trade_Taxes_crisis_shock,Trade_Taxes_recovery_time_1_2,Trade_Taxes_recovery_time_3_4,Trade_Taxes_recovery_time,Total_Non_Tax_Revenue_value_crisis,Total_Non_Tax_Revenue_value_pre_crisis,Total_Non_Tax_Revenue_crisis_year,Total_Non_Tax_Revenue_turn_around_year,Total_Non_Tax_Revenue_recovery_year_1_2,Total_Non_Tax_Revenue_recovery_year_3_4,Total_Non_Tax_Revenue_recovery_year,Total_Non_Tax_Revenue_recovery_year_1_2_str,Total_Non_Tax_Revenue_recovery_year_3_4_str,Total_Non_Tax_Revenue_recovery_year_str,Total_Non_Tax_Revenue_crisis_shock,Total_Non_Tax_Revenue_recovery_time_1_2,Total_Non_Tax_Revenue_recovery_time_3_4,Total_Non_Tax_Revenue_recovery_time
0,ABW,2390502793.296089,2776274326.822782,2008,2011,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-385771533.52669287,10,10,10,-10.519744000000001,1.8002236,2008,2010,2010,2011,2011,2010,2011,2011,-12.319967600000002,2,3,3,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,21.5,21.292589437819423,2008,2012,2012,2012,2008,2012,2012,2008,0.20741056218057707,4,4,0,18.8,18.78620102214651,2008,2012,2012,2012,2008,2012,2012,2008,0.013798977853490157,4,4,0,7.0828331332533,6.667376490630324,2008,2009,2009,2009,2008,2009,2009,2008,0.415456642622976,1,1,0,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,2.194192696876375,2.5063884156729133,2008,2013,2013,2013,2009,2013,2013,2009,-0.3121957187965383,5,5,1
1,AFG,,10990594706.55645,2008,,,,,Trend,Trend,Trend,,,,,0.42635649,13.826323,2008,2012,2012,2012,2009,2012,2012,2009,-13.39996651,4,4,1,-48.179249,-16.45149,2008,2012,2015,2018,2018,2015,Did not Recover,Did not Recover,-31.727759,7,10,10,-59.48477588075141,-24.24325882261254,2008,2012,2015,2018,2018,2015,Did not Recover,Did not Recover,-35.24151705813887,7,10,10,7.7864296466013165,7.791767532506813,2008,2009,2009,2009,2009,2009,2009,2009,-0.005337885905496442,1,1,1,6.029074750518348,5.9683430112141655,2008,2009,2009,2009,2008,2009,2009,2008,0.06073173930418285,1,1,0,1.909033620131515,2.6086311921340783,2010,2017,2018,2018,2014,Did not Recover,Did not Recover,2014,-0.6995975720025633,8,8,4,1.332666194759898,1.392883759852162,2008,2009,2009,2009,2009,2009,2009,2009,-0.06021756509226406,1,1,1,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,2.184147518342575,3.0766404757950383,2008,2015,2016,2016,2009,2016,2016,2009,-0.8924929574524634,8,8,1,1.681636458559709,1.8234245212926468,2008,2011,2011,2011,2009,2011,2011,2009,-0.14178806273293776,3,3,1
2,AGO,,71276907517.77444,2008,,,,,Trend,Trend,Trend,,,,,-2.5800951000000003,14.01002,2008,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-16.590115100000002,10,10,10,-0.96138459,26.008726,2009,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-26.97011059,9,9,9,,-20.82301723716052,2008,,,,,Trend,Trend,Trend,,,,,16.55027894984583,48.394258920574714,2009,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-31.843979970728885,9,9,9,15.70433552049993,46.21162515899358,2009,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-30.507289638493646,9,9,9,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,0.8459434293458985,2.18263376158113,2009,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-1.3366903322352317,9,9,9
3,AIA,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,21.933802449830605,2008,,,,,Trend,Trend,Trend,,,,,,17.127964555642432,2008,,,,,Trend,Trend,Trend,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,8.296942115262825,10.14334115194162,2008,2012,2012,2013,2013,2012,2013,2013,-1.846399036678795,4,5,5,3.0814687777074097,5.1323862983055815,2009,2012,,,2010,Did not Recover,Did not Recover,2010,-2.050917520598172,,,1
4,ALB,,10351185304.63138,2008,,,,,Trend,Trend,Trend,,,,,1.0000023,7.5000043000000005,2009,2014,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-6.500002,9,9,9,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,18.896829235592968,22.18144038254204,2009,2014,2014,2017,2018,2014,2017,Did not Recover,-3.2846111469490715,5,8,9,17.11449106072132,19.85575770166081,2009,2014,2014,2017,2018,2014,2017,Did not Recover,-2.7412666409394895,5,8,9,3.4136882033520166,4.181669772438733,2009,2014,2015,2017,2018,2015,2017,Did not Recover,-0.7679815690867162,6,8,9,7.803804221019472,9.909863150472482,2009,2014,2014,2018,2018,2014,Did not Recover,Did not Recover,-2.1060589294530105,5,9,9,2.845294907431617,3.008343946751848,2009,2017,2018,2018,2010,Did not Recover,Did not Recover,2010,-0.16304903932023107,9,9,1,,1.020245979401944,2008,,,,,Trend,Trend,Trend,,,,,1.5791672788386768,2.549375530989262,2008,2015,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-0.970208252150585,10,10,10
5,AND,3148088242.818821,4027543882.8002295,2008,2013,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-879455639.9814086,10,10,10,-8.5900021,0.040011267999999996,2008,2009,2009,2012,2013,2009,2012,2013,-8.630013368,1,4,5,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
6,ARB,,1895701827510.008,2008,,,,,Trend,Trend,Trend,,,,,0.46571288,5.761860400000001,2009,2010,2010,2010,2012,2010,2010,2012,-5.296147520000001,1,1,3,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
7,ARE,285215869952.3485,300996902491.4908,2009,2010,2011,2011,2011,2011,2011,2011,-15781032539.142273,2,2,2,-5.2429171,3.1918347000000002,2009,2010,2010,2010,2011,2010,2010,2011,-8.4347518,1,1,2,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,26.18513590572135,38.652747328626425,2009,2016,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-12.467611422905076,9,9,9,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,0.7497108529406687,0.8552603101572324,2008,2009,2009,2009,2009,2009,2009,2009,-0.10554945721656361,1,1,1,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
8,ARG,384677312577.801,408876787794.80896,2009,2010,2010,2010,2010,2010,2010,2010,-24199475217.007935,1,1,1,-5.9185228,9.0076542,2008,2010,2010,2010,2010,2010,2010,2010,-14.926177,2,2,2,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,22.735310983237017,23.051706264363123,2009,2010,2010,2011,2012,2010,2011,2012,-0.3163952811261055,1,2,3,4.558492670656745,4.930507815112935,2008,2010,2011,2011,2011,2011,2011,2011,-0.3720151444561903,3,3,3,12.082992752694349,12.15843697838579,2010,2011,2011,2011,2011,2011,2011,2011,-0.0754442256914416,1,1,1,1.415822817922152,1.467595152623247,2008,2012,2012,2012,2009,2012,2012,2009,-0.05177233470109499,4,4,1,1.5826512610352743,3.9408664058327516,2009,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-2.3582151447974775,9,9,9,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
9,ARM,9060944166.218409,10554389012.52068,2009,2010,2012,2012,2013,2012,2012,2013,-1493444846.302271,3,3,4,-14.149992999999998,13.749198999999999,2008,2010,2010,2012,2018,2010,2012,Did not Recover,-27.899192,2,4,10,,2.1398870999999997,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,-23.861917994392122,-17.04242538046115,2008,2010,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-6.819492613930972,10,10,10,19.69793797845081,20.43433579113454,2009,2010,2010,2010,2011,2010,2010,2011,-0.7363978126837303,1,1,2,17.063659742492,17.70869590805526,2009,2010,2010,2010,2011,2010,2010,2011,-0.6450361655632619,1,1,2,4.38568941361771,4.52073045762577,2010,2011,2011,2011,2011,2011,2011,2011,-0.1350410440080596,1,1,1,7.709525062040838,8.836288580052294,2009,2017,2018,2018,2014,Did not Recover,Did not Recover,2014,-1.1267635180114555,9,9,5,0.9702375036560584,1.319249796778947,2008,2016,2016,2017,2009,2016,2017,2009,-0.3490122931228885,8,9,1,0.799302830544459,1.045054550855746,2009,2010,2011,2012,2015,2011,2012,2015,-0.245751720311287,2,3,6,2.634278235322203,2.814241350403902,2008,2010,2011,2011,2011,2011,2011,2011,-0.1799631150816987,3,3,3
10,ASM,537092511.0132158,614907488.9867842,2008,2014,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-77814977.97356844,10,10,10,-4.3923893,1.9635396,2008,2013,2014,2014,2018,2014,2014,Did not Recover,-6.355928899999999,6,6,10,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
11,ATG,1128507775.484198,1413385625.565579,2008,2012,2016,2017,2018,2016,2017,Did not Recover,-284877850.08138084,8,9,10,,9.2594223,2008,,,,,Trend,Trend,Trend,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,18.030257186081702,20.4659700649534,2008,2010,2010,2010,2010,2010,2010,2010,-2.4357128788716977,2,2,2,16.53018788347512,19.51143744704886,2008,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-2.9812495635737406,10,10,10,2.268880208333334,3.0175913396481735,2009,2012,2013,2018,2018,2013,Did not Recover,Did not Recover,-0.7487111313148396,4,9,9,5.7820058045791685,6.435723951285522,2009,2011,2011,2011,2012,2011,2011,2012,-0.6537181467063533,2,2,3,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,8.455238633154478,2008,,,,,Trend,Trend,Trend,,,,,0.680786686838124,1.1799729364005411,2009,2010,2010,2010,2010,2010,2010,2010,-0.4991862495624171,1,1,1
12,AUS,,1061271523267.5641,2008,,,,,Trend,Trend,Trend,,,,,1.9227319,3.7773277999999997,2008,2010,2012,2012,2012,2012,2012,2012,-1.8545958999999996,4,4,4,,11.311036999999999,2008,,,,,Trend,Trend,Trend,,,,,-26.938533666844503,-24.370409568228673,2009,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-2.5681240986158294,9,9,9,,35.81266697095204,2008,,,,,Trend,Trend,Trend,,,,,26.31988295786417,30.76167811161715,2008,2011,2016,2018,2018,2016,Did not Recover,Did not Recover,-4.441795153752981,8,10,10,14.614398050997309,18.24519919970102,2008,2010,2017,2018,2018,2017,Did not Recover,Did not Recover,-3.6308011487037106,9,10,10,4.286299918825345,5.401582327806932,2008,2012,2015,2015,2018,2015,2015,Did not Recover,-1.115282408981587,7,7,10,,2.155871020341708,2008,,,,,Trend,Trend,Trend,,,,,,0.5381490250719541,2008,,,,,Trend,Trend,Trend,,,,,5.281249506516052,5.05098885933489,2008,2013,2013,2013,2008,2013,2013,2008,0.23026064718116235,5,5,0
13,AUT,384823180705.0234,399876867204.146,2009,2010,2011,2011,2011,2011,2011,2011,-15053686499.12262,2,2,2,-3.7645841,3.7274157999999997,2008,2010,2010,2011,2018,2010,2011,Did not Recover,-7.4919999,2,3,10,-13.139577,-9.6292439,2008,2010,2011,2017,2018,2011,2017,Did not Recover,-3.5103330999999987,3,9,10,-47.84835665048696,-43.97791490656828,2008,2010,2011,2017,2018,2011,2017,Did not Recover,-3.8704417439186827,3,9,10,34.365643973959216,34.3486710238117,2008,2012,2012,2012,2008,2012,2012,2008,0.016972950147518873,4,4,0,26.873979669772673,27.71808811214521,2009,2010,2012,2012,2013,2012,2012,2013,-0.8441084423725371,3,3,4,11.3803182847065,12.670318489117038,2009,2010,2013,2014,2015,2013,2014,2015,-1.2900002044105392,4,5,6,7.709475357602413,7.652548788990698,2008,2009,2009,2009,2008,2009,2009,2008,0.056926568611714856,1,1,0,2.2252063229069208,2.3805766643894954,2008,2017,2018,2018,2011,Did not Recover,Did not Recover,2011,-0.15537034148257467,10,10,3,-0.0070291596598599,-0.0026970399115423,2008,2009,2009,2009,2009,2009,2009,2009,-0.0043321197483176,1,1,1,6.815752245343028,7.341865567050967,2008,2017,2018,2018,2009,Did not Recover,Did not Recover,2009,-0.526113321707939,10,10,1
14,AZE,,41629404406.786835,2008,,,,,Trend,Trend,Trend,,,,,,25.049,2008,,,,,Trend,Trend,Trend,,,,,15.643741,,2008,2010,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,,10,10,10,-23.07880285943008,,2008,2010,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,,10,10,10,31.74083574679355,49.53691522391202,2009,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-17.796079477118468,9,9,9,12.042548289236212,17.92602517541695,2008,2012,2015,2018,2018,2015,Did not Recover,Did not Recover,-5.883476886180738,7,10,10,4.756858589426587,10.74010084270653,2008,2011,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-5.983242253279943,10,10,10,4.268269267693253,5.65417673164429,2010,2012,2014,2015,2015,2014,2015,2015,-1.3859074639510363,4,5,5,0.9216235935639951,1.4209654102464653,2008,2012,2014,2014,2018,2014,2014,Did not Recover,-0.49934181668247013,6,6,10,0.6876251030260214,1.184023575224965,2009,2011,2012,2012,2014,2012,2012,2014,-0.4963984721989436,3,3,5,16.85178374402354,32.23175288112403,2009,2016,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-15.379969137100492,9,9,9
15,BDI,,1775752462.2736,2008,,,,,Trend,Trend,Trend,,,,,-3.8999994,4.861713900000001,2009,2016,2017,2018,2010,2017,Did not Recover,2010,-8.7617133,8,9,1,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,13.431780733897428,13.46754532858153,2008,2009,2009,2009,2009,2009,2009,2009,-0.035764594684101425,1,1,1,12.02424313459147,12.44521142205965,2008,2009,2009,2009,2009,2009,2009,2009,-0.42096828746817927,1,1,1,2.939477826223095,3.6463242665946938,2008,2015,,,2009,Did not Recover,Did not Recover,2009,-0.7068464403715988,,,1,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,2.2968435099858167,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,0.8978239913124384,1.407537599305964,2009,2011,2014,2014,2014,2014,2014,2014,-0.5097136079935256,5,5,5
16,BEL,470632861743.5535,481481480330.3185,2009,2010,2010,2010,2010,2010,2010,2010,-10848618586.764954,1,1,1,-2.2531767000000005,3.4489734,2008,2010,2010,2010,2018,2010,2010,Did not Recover,-5.702150100000001,2,2,10,,-4.742114099999999,2008,,,,,Trend,Trend,Trend,,,,,-45.88273131305597,-40.236843782457825,2008,2013,2015,2015,2017,2015,2015,2017,-5.645887530598145,7,7,9,35.080109877923924,36.102192789386905,2009,2010,2010,2010,2011,2010,2010,2011,-1.0220829114629808,1,1,2,28.47031848992123,29.93197907546833,2009,2010,2011,2012,2012,2011,2012,2012,-1.4616605855471008,2,3,3,14.49634713449375,15.759311294863329,2009,2010,2012,2013,2013,2012,2013,2013,-1.2629641603695791,3,4,4,7.779252717812049,8.136837576208043,2008,2010,2010,2018,2018,2010,Did not Recover,Did not Recover,-0.3575848583959935,2,10,10,2.047479988433778,2.1531380705139442,2008,2015,2016,2016,2016,2016,2016,2016,-0.10565808208016625,8,8,8,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,6.170213713918573,5.7981602483384,2008,2009,2009,2009,2008,2009,2009,2008,0.3720534655801728,1,1,0
17,BEN,,6359822426.974839,2008,,,,,Trend,Trend,Trend,,,,,2.1102016,5.9865131,2008,2011,2012,2013,2013,2012,2013,2013,-3.8763115,4,5,5,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,10.64490387895901,13.558855283502592,2008,2017,2017,2018,2018,2017,Did not Recover,Did not Recover,-2.9139514045435817,9,10,10,9.15173377605018,11.791789860468741,2009,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-2.6400560844185605,9,9,9,,2.443887428304389,2009,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,4.739457121743597,5.1132330272364435,2008,2013,2013,,2008,2013,Did not Recover,2008,-0.3737759054928462,5,,0,,0.3272813623438676,2008,,,,,Trend,Trend,Trend,,,,,2.5358970845054554,3.199126356884817,2009,2010,2010,2013,2014,2010,2013,2014,-0.6632292723793616,1,4,5,0.5484784492352239,2.07500161036547,2008,2009,2015,2017,2017,2015,2017,2017,-1.526523161130246,7,9,9
18,BFA,,7714172808.44856,2008,,,,,Trend,Trend,Trend,,,,,2.9620152,7.294496499999999,2009,2010,2010,2011,2018,2010,2011,Did not Recover,-4.3324812999999995,1,2,9,-0.62904239,-1.6179558,2008,2009,2009,2009,2008,2009,2009,2008,0.9889134100000001,1,1,0,-17.35970365279844,-12.10347198376613,2009,2017,2018,2018,2010,Did not Recover,Did not Recover,2010,-5.25623166903231,9,9,1,11.47442962499091,12.23044644029368,2008,2009,2009,2009,2010,2009,2009,2010,-0.75601681530277,1,1,2,10.54581782797154,11.27582755744999,2008,2009,2009,2009,2010,2009,2009,2010,-0.73000972947845,1,1,2,2.399611501980127,2.6883179973262985,2008,2010,2010,2010,2011,2010,2010,2011,-0.28870649534617154,2,2,3,4.309656978445338,4.355238821329986,2008,2009,2009,2009,2009,2009,2009,2009,-0.045581842884648616,1,1,1,1.472675736072495,1.5968883713762119,2008,2009,2009,2010,2010,2009,2010,2010,-0.12421263530371696,1,2,2,1.9338148053673831,2.316413597480377,2008,2011,2012,2012,2012,2012,2012,2012,-0.38259879211299386,4,4,4,0.9286117970193632,0.9546188828436818,2008,2009,2009,2009,2009,2009,2009,2009,-0.026007085824318543,1,1,1
19,BGD,,98053769823.29112,2008,,,,,Trend,Trend,Trend,,,,,5.045126,7.058599000000001,2008,2010,2011,2016,2016,2011,2016,2016,-2.013473000000001,3,8,8,,-0.44179329,2008,,,,,Trend,Trend,Trend,,,,,,-8.662793140847478,2008,,,,,Trend,Trend,Trend,,,,,8.968048095825768,8.22099984556404,2008,2009,2009,2009,2008,2009,2009,2008,0.747048250261729,1,1,0,7.036703243023808,7.217537431940223,2009,2010,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-0.1808341889164149,9,9,9,,1.463352974419635,2008,,,,,Trend,Trend,Trend,,,,,2.534508087698332,2.267099064729033,2008,2009,2009,2009,2008,2009,2009,2008,0.2674090229692987,1,1,0,,0.0544651339604678,2008,,,,,Trend,Trend,Trend,,,,,2.3,2.4781318593983586,2009,2015,2015,2016,2010,2015,2016,2010,-0.17813185939835874,6,7,1,1.5,1.7667494794150438,2008,2012,2012,2012,2012,2012,2012,2012,-0.2667494794150438,4,4,4
